record_id,date,state,city,monitoring_station,pm2_5_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,co_mgm3,o3_ugm3,nh3_ugm3,aqi,aqi_category,dominant_pollutant,health_advisory,temperature_c,humidity_pct,wind_speed_kmph,monitoring_agency
1,2015-01-01,Assam,Guwahati,Guwahati Railway Colony,45.5,99.1,109.9,7.3,0.91,127.6,16.9,118,Moderate,NO2,"Breathing discomfort to people with lung/heart disease, children, older adults",24.3,67.3,8.9,CPCB
2,2015-01-01,Bihar,Patna,Rajbansi Nagar,235.6,399.5,30.0,33.8,2.48,105.1,6.2,389,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.8,57.8,10.3,State Pollution Control Board
3,2015-01-01,Chhattisgarh,Raipur,Raipur Telibandha,125.4,256.8,58.4,15.8,1.44,106.0,16.2,304,Very Poor,PM2.5,Respiratory illness on prolonged exposure,11.0,57.5,2.8,CPCB
4,2015-01-01,Delhi,Delhi,R K Puram,138.5,227.7,30.2,10.7,2.79,38.8,19.8,314,Very Poor,PM2.5,Respiratory illness on prolonged exposure,14.2,40.1,1.3,CPCB
5,2015-01-01,Delhi,Delhi,R K Puram,189.2,353.2,130.9,58.5,0.91,60.4,56.7,354,Very Poor,PM10,Respiratory illness on prolonged exposure,25.2,50.2,4.3,CPCB
6,2015-01-01,Haryana,Faridabad,Faridabad Sector 16A,45.1,80.1,94.7,10.0,0.33,102.3,52.4,102,Moderate,NO2,"Breathing discomfort to people with lung/heart disease, children, older adults",13.0,50.4,6.4,State Pollution Control Board
7,2015-01-01,Haryana,Faridabad,Faridabad Sector 16A,318.5,608.8,13.3,35.3,3.61,72.7,25.7,426,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",10.2,76.8,4.2,CPCB
8,2015-01-01,Himachal Pradesh,Shimla,Shimla US Club,26.2,43.8,50.9,22.2,0.62,15.0,45.6,56,Satisfactory,NO2,Minor breathing discomfort to sensitive people,17.5,26.4,12.9,State Pollution Control Board
9,2015-01-01,Himachal Pradesh,Shimla,Shimla US Club,48.6,91.8,24.0,12.4,0.2,206.7,18.2,84,Satisfactory,PM10,Minor breathing discomfort to sensitive people,14.4,34.1,21.2,State Pollution Control Board
10,2015-01-01,Jammu and Kashmir,Srinagar,Srinagar Rajbagh,60.4,120.1,15.3,12.7,1.42,99.8,15.7,101,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",21.4,49.2,11.9,CPCB
