fire_id,detection_date,state,latitude,longitude,sensor,detection_confidence_pct,temperature_c,relative_humidity_pct,wind_speed_kmh,rainfall_last_7d_mm,ndvi,fuel_moisture_index,drought_index,fire_radiative_power_mw,estimated_burned_area_ha,fire_risk,data_status
IND-FIRE-0188,2024-01-02,Assam,26.37685,93.60117,SNPP-VIIRS,49.3,27.7,35.0,7.8,8.9,0.443,0.771,0.573,32.8,2.24,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0191,2024-01-03,Uttarakhand,29.8631,79.2416,SNPP-VIIRS,45.9,24.9,50.6,9.4,4.9,0.365,0.828,0.417,23.5,0.9,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0094,2024-01-04,Karnataka,15.0062,76.42837,SNPP-VIIRS,46.8,29.2,53.1,4.7,6.6,0.382,0.753,0.382,19.2,1.53,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0070,2024-01-04,Kerala,11.52482,74.40751,SNPP-VIIRS,41.6,28.4,57.6,4.0,7.6,0.339,0.757,0.391,25.1,3.28,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0078,2024-01-04,Nagaland,26.04195,94.88657,SNPP-VIIRS,35.0,21.8,37.3,6.5,0.8,0.385,0.809,0.417,11.6,5.9,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0004,2024-01-04,Odisha,21.41732,84.72739,SNPP-VIIRS,46.3,25.1,59.6,9.8,3.7,0.672,0.674,0.244,8.7,6.33,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0137,2024-01-04,Uttarakhand,28.7869,77.80952,SNPP-VIIRS,49.3,22.8,24.3,6.1,1.1,0.33,0.63,0.817,18.8,1.51,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0198,2024-01-05,Tripura,24.05933,91.38479,SNPP-VIIRS,35.0,24.2,52.2,10.4,1.2,0.23,0.745,0.343,23.7,2.48,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0291,2024-01-07,Telangana,17.85834,78.15584,SNPP-VIIRS,35.0,23.7,59.4,5.2,4.9,0.475,0.79,0.227,19.1,2.41,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0032,2024-01-07,Uttarakhand,29.47147,78.92112,SNPP-VIIRS,35.0,20.2,52.0,7.5,0.5,0.492,0.9,0.421,17.0,2.45,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0042,2024-01-08,Telangana,16.50057,79.26818,SNPP-VIIRS,48.2,26.1,36.5,7.9,8.3,0.451,0.777,0.61,30.0,2.14,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0177,2024-01-10,Kerala,10.79776,75.72845,SNPP-VIIRS,35.0,24.0,55.4,3.8,1.2,0.49,0.829,0.232,22.9,3.69,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0074,2024-01-11,Gujarat,21.49382,72.12756,SNPP-VIIRS,35.0,23.1,38.7,5.1,0.2,0.492,0.728,0.249,23.1,1.56,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0014,2024-01-11,Telangana,18.36819,78.00468,SNPP-VIIRS,37.8,27.3,29.7,7.3,11.4,0.358,0.604,0.343,43.5,4.51,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0110,2024-01-12,Uttar Pradesh,27.08541,81.10991,SNPP-VIIRS,35.0,25.4,53.5,8.8,8.4,0.539,0.802,0.334,40.2,2.24,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0248,2024-01-14,Karnataka,15.23694,77.95903,SNPP-VIIRS,52.3,23.3,38.2,10.8,1.3,0.433,0.689,0.484,25.4,1.24,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0226,2024-01-14,Uttarakhand,30.40784,77.94056,SNPP-VIIRS,42.5,30.4,35.8,7.8,3.6,0.451,0.635,0.839,44.0,1.08,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0063,2024-01-16,Maharashtra,19.95668,75.30856,SNPP-VIIRS,36.8,24.3,56.0,6.6,3.3,0.366,0.835,0.401,32.4,8.54,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0296,2024-01-18,Uttar Pradesh,26.9963,80.53779,SNPP-VIIRS,42.9,24.3,36.1,8.4,0.5,0.396,0.705,0.69,31.2,1.25,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0280,2024-01-19,Telangana,18.28468,78.23969,SNPP-VIIRS,35.0,24.2,56.5,13.4,5.1,0.509,0.759,0.21,10.2,1.09,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0129,2024-01-23,Assam,25.7881,92.60779,SNPP-VIIRS,35.0,25.3,55.0,14.9,8.5,0.545,0.858,0.444,39.1,6.22,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0024,2024-01-27,Uttar Pradesh,26.80183,79.83753,SNPP-VIIRS,35.0,29.8,37.0,10.5,4.8,0.518,0.748,0.619,35.7,1.52,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0139,2024-01-28,Tamil Nadu,11.55003,79.18932,SNPP-VIIRS,40.3,20.6,50.8,10.3,3.0,0.557,0.767,0.407,38.8,2.33,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0232,2024-01-29,Karnataka,14.64877,74.79511,SNPP-VIIRS,35.0,19.4,51.0,5.7,11.8,0.564,0.807,0.246,5.9,1.64,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0270,2024-02-01,Andhra Pradesh,15.88984,80.02019,MODIS,35.0,25.1,46.0,5.8,11.5,0.432,0.799,0.431,27.2,3.63,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0116,2024-02-01,Telangana,18.54398,79.58533,MODIS,48.6,28.6,53.2,10.9,2.3,0.367,0.764,0.472,32.7,5.34,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0265,2024-02-01,Uttarakhand,30.02152,79.84483,SNPP-VIIRS,35.0,24.2,33.8,4.4,3.4,0.454,0.67,0.473,15.6,1.39,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0164,2024-02-02,Andhra Pradesh,15.36527,80.06062,SNPP-VIIRS,60.5,29.0,49.8,5.5,2.6,0.684,0.835,0.334,17.7,4.99,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0212,2024-02-02,Maharashtra,19.01585,76.13316,SNPP-VIIRS,35.0,23.8,47.9,10.4,5.2,0.486,0.776,0.348,24.6,3.01,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0104,2024-02-02,West Bengal,22.72839,88.13805,MODIS,35.1,22.6,47.5,6.3,0.6,0.607,0.824,0.414,8.2,2.12,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0192,2024-02-03,Gujarat,21.80853,71.89534,SNPP-VIIRS,51.9,33.8,34.2,8.3,2.9,0.533,0.714,0.72,19.6,2.38,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0111,2024-02-03,Madhya Pradesh,23.29342,78.96669,SNPP-VIIRS,59.5,27.7,31.9,12.0,4.8,0.658,0.725,0.672,36.1,2.94,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0087,2024-02-03,Odisha,20.13104,85.13325,SNPP-VIIRS,35.0,28.5,42.8,9.4,7.0,0.607,0.712,0.519,35.1,0.49,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0118,2024-02-03,Odisha,22.16529,84.75805,SNPP-VIIRS,35.5,29.7,40.4,8.9,2.9,0.587,0.717,0.627,34.9,2.9,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0002,2024-02-04,Kerala,10.20243,76.77963,MODIS,49.2,32.6,48.8,14.3,7.5,0.674,0.708,0.619,43.9,1.93,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0154,2024-02-04,Maharashtra,20.0012,76.51526,SNPP-VIIRS,40.4,27.1,42.8,6.3,5.0,0.404,0.755,0.505,38.4,4.51,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0208,2024-02-04,Odisha,20.91865,85.10668,SNPP-VIIRS,66.4,33.8,41.2,10.7,4.4,0.561,0.556,0.611,44.6,2.62,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0047,2024-02-05,Karnataka,15.11686,74.29676,MODIS,35.0,22.2,32.5,4.5,2.7,0.406,0.787,0.617,22.3,4.04,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0122,2024-02-05,Nagaland,27.26441,94.91924,SNPP-VIIRS,35.0,29.7,48.1,10.5,1.7,0.523,0.594,0.44,32.5,2.63,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0230,2024-02-07,Assam,26.20628,92.67229,SNPP-VIIRS,35.0,19.8,42.1,15.4,5.8,0.559,0.767,0.266,19.7,0.6,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0233,2024-02-07,Uttarakhand,29.49447,78.04647,SNPP-VIIRS,35.0,30.2,27.0,4.7,3.6,0.566,0.548,0.763,53.3,1.08,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0239,2024-02-09,Andhra Pradesh,16.40527,79.91766,SNPP-VIIRS,35.0,24.8,45.8,4.9,1.8,0.56,0.717,0.579,17.3,0.93,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0205,2024-02-10,Andhra Pradesh,15.74614,80.45209,SNPP-VIIRS,35.0,30.7,44.0,4.6,0.4,0.549,0.803,0.754,45.6,6.7,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0037,2024-02-10,Bihar,24.3579,85.04859,SNPP-VIIRS,45.3,29.0,43.1,9.6,4.0,0.567,0.644,0.424,30.9,1.68,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0089,2024-02-10,Chhattisgarh,20.39042,82.50865,MODIS,35.0,34.3,54.9,7.3,3.3,0.518,0.631,0.519,38.9,4.34,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0213,2024-02-10,Chhattisgarh,22.64971,81.58819,SNPP-VIIRS,60.8,27.8,46.1,14.5,0.7,0.41,0.688,0.533,49.2,4.82,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0041,2024-02-10,Kerala,11.49142,77.34191,SNPP-VIIRS,38.7,26.9,34.3,8.6,1.3,0.688,0.687,0.699,31.8,2.87,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0141,2024-02-10,Madhya Pradesh,22.81936,79.83764,SNPP-VIIRS,48.0,32.6,49.6,9.2,1.5,0.513,0.71,0.485,20.2,2.9,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0053,2024-02-10,Tamil Nadu,11.32072,78.01429,SNPP-VIIRS,40.6,23.3,35.1,11.6,5.7,0.473,0.681,0.524,25.9,6.24,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0176,2024-02-11,Andhra Pradesh,16.73858,80.00125,SNPP-VIIRS,54.2,30.6,66.6,7.8,1.6,0.599,0.716,0.272,31.3,0.61,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0299,2024-02-11,Tamil Nadu,11.94974,79.3437,SNPP-VIIRS,35.0,21.9,42.5,8.4,6.4,0.583,0.8,0.299,25.3,6.48,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0194,2024-02-11,Telangana,18.41504,80.35947,SNPP-VIIRS,44.9,26.6,32.7,7.6,3.5,0.485,0.664,0.716,29.6,2.0,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0219,2024-02-12,Uttarakhand,31.51137,79.89691,MODIS,35.0,24.3,49.1,5.8,2.8,0.556,0.783,0.377,21.2,1.01,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0209,2024-02-13,Assam,26.39416,93.24391,SNPP-VIIRS,39.3,28.1,39.9,3.7,0.8,0.538,0.619,0.464,36.9,2.63,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0084,2024-02-13,Chhattisgarh,21.40993,82.89165,SNPP-VIIRS,35.0,22.3,19.6,10.4,0.7,0.351,0.622,0.74,29.7,3.92,moderate,synthetic_event_calibrated_to_FSI_patterns
