Record_ID,Date,Year,Month,Region,State,City,Max_Temperature_C,Min_Temperature_C,Relative_Humidity_Pct,Wind_Speed_kmh,Urban_Heat_Island_Delta_C,Heat_Index_C,Wet_Bulb_Temp_C,IMD_Heatwave_Category,IMD_Warning_Alert,Reported_Heat_Exhaustion_Cases,Power_Grid_Peak_Stress_Index
IND-HW-000001,2023-04-12,2023,April,North,Punjab,Bathinda,44.6,30.2,16,7.9,4.1,44.4,24.1,Heatwave,Orange,7,6.6
IND-HW-000002,2019-05-28,2019,May,South,Andhra Pradesh,Vijayawada,46.6,36.7,46,9.4,0.7,75.2,35.6,Heatwave,Orange,59,7.3
IND-HW-000003,2019-05-06,2019,May,East,Bihar,Patna,44.6,34.6,37,14.1,0.5,58.8,31.5,Heatwave,Orange,43,6.3
IND-HW-000004,2023-04-10,2023,April,West,Gujarat,Ahmedabad,41.5,31.4,43,10.1,3.4,54.4,30.5,Moderate Heat,Yellow,29,4.6
IND-HW-000005,2023-04-06,2023,April,North,Haryana,Hisar,43.0,33.5,25,21.4,2.7,46.5,26.6,Moderate Heat,Yellow,11,6.1
IND-HW-000006,2024-04-06,2024,April,South,Tamil Nadu,Chennai,41.6,31.4,71,14.7,1.0,81.3,36.6,Moderate Heat,Yellow,74,5.4
IND-HW-000007,2022-05-01,2022,May,North,Punjab,Bathinda,47.8,35.5,10,6.1,0.6,45.2,23.0,Severe Heatwave,Red,14,7.8
IND-HW-000008,2019-06-11,2019,June,South,Telangana,Hyderabad,43.8,33.9,36,6.3,3.8,55.7,30.6,Moderate Heat,Yellow,40,6.0
IND-HW-000009,2022-04-03,2022,April,West,Gujarat,Ahmedabad,42.5,31.8,27,15.2,0.9,46.6,26.9,Moderate Heat,Yellow,14,5.5
IND-HW-000010,2019-05-17,2019,May,West,Gujarat,Ahmedabad,45.4,32.8,45,19.8,3.2,69.4,34.3,Heatwave,Orange,50,6.4
IND-HW-000011,2019-06-24,2019,June,South,Tamil Nadu,Chennai,40.4,28.6,65,6.0,4.2,68.9,34.3,Moderate Heat,Yellow,39,5.3
IND-HW-000012,2021-04-01,2021,April,North,Rajasthan,Jaipur,42.1,31.1,25,13.1,2.6,44.8,25.9,Moderate Heat,Yellow,17,5.4
IND-HW-000013,2022-05-15,2022,May,North,Haryana,Hisar,46.7,33.4,13,8.8,1.9,45.7,24.0,Heatwave,Orange,13,6.7
IND-HW-000014,2021-05-24,2021,May,North,Rajasthan,Phalodi,49.6,36.5,10,19.7,1.1,47.3,24.0,Severe Heatwave,Red,19,9.8
IND-HW-000015,2023-05-20,2023,May,South,Tamil Nadu,Chennai,42.2,27.8,55,10.4,4.0,67.0,33.9,Heatwave,Orange,49,5.4
IND-HW-000016,2019-06-18,2019,June,North,Rajasthan,Churu,44.3,32.3,16,10.9,3.0,44.0,23.9,Moderate Heat,Yellow,14,6.7
IND-HW-000017,2020-04-06,2020,April,West,Maharashtra,Nagpur (Vidarbha),44.3,31.2,28,5.6,2.8,51.0,28.5,Moderate Heat,Yellow,22,6.4
IND-HW-000018,2023-06-02,2023,June,North,Uttar Pradesh,Varanasi,47.5,36.1,28,16.2,1.3,58.7,30.9,Severe Heatwave,Red,40,7.9
IND-HW-000019,2020-04-14,2020,April,North,Rajasthan,Churu,44.3,33.3,13,8.6,0.7,42.6,22.5,Moderate Heat,Yellow,10,6.0
IND-HW-000020,2023-06-28,2023,June,South,Tamil Nadu,Chennai,39.4,27.4,63,12.8,2.6,62.7,33.0,Normal,Green,33,5.1
IND-HW-000021,2019-06-06,2019,June,North,Delhi,New Delhi,45.8,33.8,18,10.0,3.6,47.4,25.8,Heatwave,Orange,18,6.8
IND-HW-000022,2022-04-30,2022,April,West,Maharashtra,Nagpur (Vidarbha),44.5,30.8,35,20.6,2.5,56.9,30.8,Heatwave,Orange,26,6.2
IND-HW-000023,2020-06-16,2020,June,West,Maharashtra,Nagpur (Vidarbha),47.4,33.3,16,15.5,4.0,48.6,25.9,Severe Heatwave,Red,10,7.6
IND-HW-000024,2019-06-07,2019,June,East,West Bengal,Kolkata,41.6,29.6,60,4.9,1.3,69.4,34.4,Moderate Heat,Yellow,65,5.0
IND-HW-000025,2023-05-06,2023,May,Central,Madhya Pradesh,Gwalior,44.9,35.2,17,20.3,2.4,45.4,24.8,Heatwave,Orange,10,6.6
IND-HW-000026,2024-06-05,2024,June,East,Odisha,Jharsuguda,44.3,34.5,37,14.6,3.8,58.0,31.3,Moderate Heat,Yellow,43,6.4
IND-HW-000027,2019-04-05,2019,April,East,Bihar,Patna,44.2,30.6,38,5.4,1.2,58.5,31.4,Moderate Heat,Yellow,39,6.0
IND-HW-000028,2022-04-25,2022,April,East,Bihar,Patna,42.2,31.2,52,11.5,2.1,64.2,33.2,Heatwave,Orange,55,5.5
IND-HW-000029,2023-04-11,2023,April,South,Telangana,Hyderabad,42.2,29.2,22,15.4,4.0,43.5,24.9,Moderate Heat,Yellow,12,5.8
IND-HW-000030,2022-06-11,2022,June,West,Maharashtra,Nagpur (Vidarbha),45.9,35.3,32,12.1,3.1,58.1,31.0,Heatwave,Orange,27,6.6
IND-HW-000031,2024-06-28,2024,June,South,Andhra Pradesh,Vijayawada,43.4,33.8,62,5.3,1.1,80.0,36.5,Heatwave,Orange,64,6.8
IND-HW-000032,2020-06-04,2020,June,North,Rajasthan,Phalodi,47.0,35.8,13,15.5,2.5,46.1,24.2,Severe Heatwave,Red,19,6.7
IND-HW-000033,2024-04-27,2024,April,North,Uttar Pradesh,Prayagraj,44.4,33.5,47,21.2,0.8,67.7,34.0,Heatwave,Orange,44,6.3
IND-HW-000034,2022-05-30,2022,May,South,Telangana,Hyderabad,42.8,30.7,34,6.0,0.8,51.6,29.2,Moderate Heat,Yellow,29,5.5
IND-HW-000035,2022-04-10,2022,April,North,Punjab,Bathinda,46.6,35.8,20,14.1,1.5,50.1,27.2,Heatwave,Orange,9,7.6
IND-HW-000036,2024-05-19,2024,May,South,Tamil Nadu,Chennai,43.7,29.9,59,13.3,1.4,77.9,36.1,Heatwave,Orange,63,6.0
IND-HW-000037,2023-05-09,2023,May,Central,Madhya Pradesh,Bhopal,45.2,33.9,20,21.7,1.9,47.6,26.2,Heatwave,Orange,19,6.4
IND-HW-000038,2022-05-07,2022,May,North,Punjab,Bathinda,47.9,33.6,13,21.6,3.1,47.3,24.7,Severe Heatwave,Red,16,8.1
IND-HW-000039,2023-06-02,2023,June,South,Telangana,Ramagundam,46.3,33.0,36,19.5,2.3,63.1,32.6,Heatwave,Orange,47,7.5
IND-HW-000040,2023-05-31,2023,May,North,Rajasthan,Jaipur,46.1,33.8,35,20.0,1.8,61.5,32.1,Heatwave,Orange,41,7.2
IND-HW-000041,2020-06-23,2020,June,East,Bihar,Gaya,43.2,32.7,26,13.0,3.8,47.4,27.0,Moderate Heat,Yellow,22,5.7
IND-HW-000042,2023-05-08,2023,May,South,Telangana,Ramagundam,48.1,37.8,26,20.2,2.7,58.2,30.6,Severe Heatwave,Red,24,8.8
IND-HW-000043,2020-05-02,2020,May,Central,Madhya Pradesh,Bhopal,43.9,29.6,23,5.4,2.7,47.0,26.5,Moderate Heat,Yellow,12,7.2
IND-HW-000044,2024-06-13,2024,June,South,Tamil Nadu,Chennai,39.6,28.4,80,15.3,0.7,80.2,36.3,Normal,Green,71,3.8
IND-HW-000045,2024-05-14,2024,May,North,Rajasthan,Churu,47.6,36.2,10,9.5,3.6,45.0,22.9,Severe Heatwave,Red,20,8.4
IND-HW-000046,2022-05-14,2022,May,South,Andhra Pradesh,Vijayawada,47.2,33.1,42,11.4,1.5,72.7,35.0,Severe Heatwave,Red,53,8.1
IND-HW-000047,2022-04-01,2022,April,East,Bihar,Patna,41.4,27.2,36,14.1,3.0,49.4,28.7,Moderate Heat,Yellow,20,5.4
IND-HW-000048,2019-05-23,2019,May,North,Punjab,Bathinda,46.5,35.2,23,19.8,0.9,52.1,28.3,Heatwave,Orange,25,6.6
IND-HW-000049,2019-05-17,2019,May,West,Maharashtra,Nagpur (Vidarbha),49.6,35.8,28,4.1,1.2,64.2,32.5,Severe Heatwave,Red,40,8.8
IND-HW-000050,2024-05-02,2024,May,North,Haryana,Hisar,50.1,36.4,31,21.1,2.5,69.2,33.9,Severe Heatwave,Red,64,9.6
IND-HW-000051,2020-06-05,2020,June,East,Bihar,Patna,44.1,33.3,39,20.7,3.0,59.1,31.6,Moderate Heat,Yellow,44,5.7
IND-HW-000052,2022-06-29,2022,June,North,Rajasthan,Phalodi,48.9,37.4,10,6.1,3.2,46.5,23.6,Severe Heatwave,Red,18,8.6
IND-HW-000053,2024-04-14,2024,April,East,Bihar,Gaya,45.6,35.0,35,21.2,0.6,60.0,31.7,Heatwave,Orange,44,6.6
IND-HW-000054,2024-04-13,2024,April,East,West Bengal,Kolkata,37.2,27.5,61,11.3,2.8,52.8,30.7,Normal,Green,20,3.8
IND-HW-000055,2022-04-23,2022,April,North,Rajasthan,Jaipur,43.8,30.7,33,19.2,2.2,53.4,29.7,Moderate Heat,Yellow,32,6.8
IND-HW-000056,2023-05-24,2023,May,South,Telangana,Ramagundam,45.7,34.3,36,13.5,3.0,61.2,32.1,Heatwave,Orange,38,7.3
IND-HW-000057,2023-04-08,2023,April,North,Haryana,Hisar,41.9,29.5,37,20.4,4.1,51.3,29.3,Moderate Heat,Yellow,31,5.3
IND-HW-000058,2024-05-23,2024,May,North,Rajasthan,Jaipur,43.4,30.5,22,11.5,0.6,45.6,25.8,Moderate Heat,Yellow,13,5.9
IND-HW-000059,2023-05-06,2023,May,North,Rajasthan,Churu,49.7,36.2,10,12.9,2.2,47.4,24.1,Severe Heatwave,Red,25,8.7
IND-HW-000060,2022-06-23,2022,June,North,Uttar Pradesh,Varanasi,40.4,28.3,42,4.2,2.3,50.5,29.4,Moderate Heat,Yellow,25,4.5
IND-HW-000061,2019-05-22,2019,May,Central,Madhya Pradesh,Gwalior,49.5,36.8,10,10.9,0.5,47.1,24.0,Severe Heatwave,Red,17,8.6
IND-HW-000062,2019-04-06,2019,April,North,Rajasthan,Jaipur,44.1,34.2,16,5.9,2.9,43.7,23.8,Moderate Heat,Yellow,6,6.7
IND-HW-000063,2023-04-28,2023,April,South,Telangana,Ramagundam,43.7,31.8,37,21.0,4.0,56.2,30.8,Moderate Heat,Yellow,29,5.8
IND-HW-000064,2024-05-19,2024,May,West,Maharashtra,Nagpur (Vidarbha),48.6,36.1,16,21.6,2.3,50.5,26.7,Severe Heatwave,Red,35,8.7
IND-HW-000065,2024-05-07,2024,May,North,Rajasthan,Churu,49.0,37.0,19,18.3,1.5,53.7,28.4,Severe Heatwave,Red,30,9.7
IND-HW-000066,2024-04-29,2024,April,Central,Madhya Pradesh,Gwalior,45.9,31.7,16,13.0,2.9,46.3,25.0,Heatwave,Orange,14,7.2
IND-HW-000067,2022-06-20,2022,June,North,Rajasthan,Jaipur,40.9,29.4,31,16.7,4.1,45.4,26.9,Moderate Heat,Yellow,20,5.1
IND-HW-000068,2024-06-11,2024,June,East,Bihar,Gaya,44.1,34.1,26,8.4,1.9,49.3,27.7,Moderate Heat,Yellow,24,5.6
