Observation_ID,Date,Year,Month,Glacier_Name,Himalayan_Basin_Range,State_or_UT,Elevation_m_asl,Ambient_Air_Temp_C,Ice_Surface_Temp_C,Solar_Irradiance_W_m2,Surface_Albedo,Debris_Cover_Thickness_cm,Daily_Liquefaction_Melt_cm_we,Annual_Terminus_Retreat_m_yr,Net_Annual_Mass_Balance_m_we_yr,Glacial_Lake_Volume_10k_m3,Proglacial_Discharge_m3_s,GLOF_Susceptibility_Class
HIM-GL-MELT-000001,2024-05-11,2024,May,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4539,-0.1,-0.6,627.9,0.35,12.7,1.22,31.6,-1.48,337.8,7.9,Low Risk / Monitored
HIM-GL-MELT-000002,2019-10-11,2019,October,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5335,-2.0,-1.0,782.5,0.21,14.3,0.93,24.6,-1.19,127.1,3.2,Low Risk / Monitored
HIM-GL-MELT-000003,2018-05-10,2018,May,Milam Glacier,Goriganga Basin,Uttarakhand,4278,6.7,0.0,695.7,0.39,5.4,7.69,21.2,-0.97,287.1,31.2,High Risk
HIM-GL-MELT-000004,2023-09-11,2023,September,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4260,7.2,0.0,665.2,0.25,2.5,9.38,21.5,-1.09,115.4,37.4,Moderate Risk
HIM-GL-MELT-000005,2024-09-11,2024,September,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4495,6.9,0.0,666.4,0.32,10.6,5.15,31.6,-1.2,830.0,27.1,High Risk
HIM-GL-MELT-000006,2024-05-30,2024,May,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5179,-1.2,-0.8,715.8,0.35,3.6,2.63,28.6,-1.1,88.3,11.4,Low Risk / Monitored
HIM-GL-MELT-000007,2021-07-30,2021,July,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4567,4.1,-0.2,785.5,0.24,14.4,2.08,27.4,-1.02,345.8,12.3,Low Risk / Monitored
HIM-GL-MELT-000008,2018-05-03,2018,May,Changme Khangpu Glacier,Tista Basin,Sikkim,4689,1.7,-1.4,648.3,0.36,8.3,3.38,25.6,-1.31,448.6,15.3,Moderate Risk
HIM-GL-MELT-000009,2022-08-12,2022,August,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4745,5.1,-0.3,668.0,0.3,4.1,7.32,27.3,-1.39,151.4,28.9,Moderate Risk
HIM-GL-MELT-000010,2018-09-03,2018,September,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4405,8.2,0.0,545.8,0.3,7.3,6.96,18.5,-0.75,102.5,27.4,Moderate Risk
HIM-GL-MELT-000011,2019-05-01,2019,May,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5225,-2.0,-1.3,692.8,0.42,2.1,1.48,23.3,-1.1,75.2,8.2,Low Risk / Monitored
HIM-GL-MELT-000012,2021-09-12,2021,September,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4095,7.2,0.0,585.7,0.38,3.4,8.14,20.1,-0.62,93.5,29.9,Moderate Risk
HIM-GL-MELT-000013,2022-05-15,2022,May,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4550,3.5,0.0,584.5,0.38,9.7,3.85,26.2,-1.13,902.8,22.8,High Risk
HIM-GL-MELT-000014,2021-07-28,2021,July,Drang-Drung Glacier,Zanskar Range,Ladakh,4645,4.0,0.0,848.3,0.31,10.1,4.52,16.2,-0.82,162.5,18.6,Moderate Risk
HIM-GL-MELT-000015,2023-10-05,2023,October,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,4867,-1.8,-1.9,568.9,0.32,5.4,1.42,27.3,-1.12,69.8,4.2,Low Risk / Monitored
HIM-GL-MELT-000016,2018-08-30,2018,August,Parkachik Glacier,Zanskar Range,Ladakh,4316,10.6,0.0,916.6,0.36,5.7,11.14,21.3,-1.04,145.4,45.1,Moderate Risk
HIM-GL-MELT-000017,2019-08-24,2019,August,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4240,7.9,0.0,649.4,0.39,1.2,8.09,30.4,-1.47,601.3,36.3,High Risk
HIM-GL-MELT-000018,2024-06-04,2024,June,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,4536,8.0,0.0,793.8,0.41,1.5,8.47,17.6,-0.9,316.5,36.4,High Risk
HIM-GL-MELT-000019,2019-07-06,2019,July,Parkachik Glacier,Zanskar Range,Ladakh,4433,5.7,0.0,927.8,0.32,13.2,3.76,22.8,-0.82,82.0,15.3,Moderate Risk
HIM-GL-MELT-000020,2023-09-10,2023,September,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,4877,1.7,-1.2,652.4,0.37,8.2,3.51,31.0,-1.47,179.4,15.4,Moderate Risk
HIM-GL-MELT-000021,2018-05-25,2018,May,Siachen Glacier,Karakoram,Ladakh,5260,-1.4,-1.0,453.4,0.28,6.7,0.75,14.1,-0.52,15.8,3.7,Low Risk / Monitored
HIM-GL-MELT-000022,2022-05-11,2022,May,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4094,5.3,0.0,614.2,0.32,8.3,5.04,32.0,-1.37,905.7,27.5,High Risk
HIM-GL-MELT-000023,2020-07-04,2020,July,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4333,8.1,0.0,847.8,0.3,7.7,8.46,30.5,-1.39,918.4,40.0,High Risk
HIM-GL-MELT-000024,2019-10-03,2019,October,South Lhonak Glacier,North Sikkim Basin,Sikkim,4951,2.3,-0.1,572.2,0.33,4.8,4.24,33.5,-1.47,1480.2,28.6,High Risk
HIM-GL-MELT-000025,2023-06-29,2023,June,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,3941,15.2,0.0,840.0,0.37,4.9,14.57,24.8,-1.07,207.0,57.7,High Risk
HIM-GL-MELT-000026,2026-09-15,2026,September,Zemu Glacier,Kanchenjunga Massif,Sikkim,4732,-0.2,-1.8,681.4,0.31,5.6,3.51,35.0,-1.55,266.3,14.1,Moderate Risk
HIM-GL-MELT-000027,2018-06-19,2018,June,Milam Glacier,Goriganga Basin,Uttarakhand,4276,7.7,0.0,580.4,0.35,11.1,4.73,20.4,-1.06,259.0,20.7,High Risk
HIM-GL-MELT-000028,2022-10-14,2022,October,Milam Glacier,Goriganga Basin,Uttarakhand,3838,3.9,0.0,841.6,0.34,4.4,6.74,23.6,-1.01,397.6,28.6,High Risk
HIM-GL-MELT-000029,2024-10-11,2024,October,Changme Khangpu Glacier,Tista Basin,Sikkim,4792,2.1,-0.0,883.5,0.3,4.5,5.53,32.5,-1.46,465.8,24.7,High Risk
HIM-GL-MELT-000030,2022-07-02,2022,July,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,3827,11.3,0.0,770.3,0.38,8.4,9.0,21.9,-0.95,1093.1,43.9,Very High (Critical Alert)
HIM-GL-MELT-000031,2024-07-30,2024,July,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5152,1.1,-0.4,636.0,0.33,3.7,3.61,26.1,-1.19,94.4,13.6,Moderate Risk
