system_id,system_name,basin,season_year,date,time_utc,track_point_seq,latitude,longitude,max_sustained_wind_kmph,gust_speed_kmph,central_pressure_hpa,intensity_category,movement_direction,movement_speed_kmph,landfall_flag,landfall_state,landfall_coast_area
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,06:00,1,15.17,88.19,15.0,18.3,1003.5,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,09:00,2,15.39,87.78,15.0,17.4,1004.4,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,12:00,3,15.59,87.37,15.0,19.1,1005.2,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,15:00,4,15.8,86.95,15.0,17.9,1005.4,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,18:00,5,15.99,86.54,15.0,17.7,1004.2,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-16,21:00,6,16.19,86.12,15.0,19.4,1001.7,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,00:00,7,16.37,85.7,16.0,20.2,1002.5,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,03:00,8,16.56,85.28,15.6,18.5,1006.3,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,06:00,9,16.76,84.87,15.9,19.9,1005.4,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,09:00,10,16.94,84.45,18.3,21.5,1001.5,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,12:00,11,17.14,84.03,21.4,27.1,1000.1,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,15:00,12,17.35,83.62,26.0,31.3,995.7,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,18:00,13,17.55,83.2,29.3,34.8,996.1,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-17,21:00,14,17.74,82.79,39.5,49.2,985.5,Depression,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,00:00,15,17.92,82.37,40.5,50.2,984.1,Depression,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,03:00,16,18.1,81.94,41.7,51.4,983.9,Depression,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,06:00,17,18.28,81.52,44.0,52.9,982.5,Depression,WNW,17.0,Yes,Odisha,Balasore-Bhadrak Coast
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,09:00,18,18.44,81.09,37.5,48.2,984.6,Depression,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,12:00,19,18.6,80.66,33.9,43.9,991.5,Depression,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,15:00,20,18.76,80.22,23.8,30.3,999.5,Low Pressure Area,WNW,17.0,No,,
2,BOB 002 (1891),Bay of Bengal,1891,1891-01-18,18:00,21,18.92,79.79,11.9,13.8,1004.5,Low Pressure Area,WNW,17.0,No,,
