record_id,date,time_utc_ist,region,state,latitude,longitude,magnitude,magnitude_type,depth_km,seismic_zone,mmi_intensity,felt_report,casualties_reported,buildings_damaged,economic_loss_inr_lakh,tsunami_warning,reporting_agency
1,2010-01-01,00:24:47,Darjeeling Himalaya,West Bengal,28.0424,89.501,2.1,mb,15.5,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
2,2010-01-01,00:53:08,Saurashtra,Gujarat,22.7844,71.5772,2.3,Mw,11.9,III,3,"Felt by few, no damage",0,0,0.0,No,IMD
3,2010-01-01,01:13:56,Sikkim Himalaya,Sikkim,27.6492,89.0054,2.5,Mw,7.5,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
4,2010-01-01,04:35:45,Punjab Plains,Punjab,30.2112,76.0928,3.4,ML,2.0,IV,6,Slight damage to buildings,0,0,0.0,No,National Center for Seismology
5,2010-01-01,08:57:57,Chamba-Kangra Belt,Himachal Pradesh,32.3226,77.3397,2.2,Mw,38.8,V,2,Not felt,0,0,0.0,No,USGS
6,2010-01-01,09:29:10,Garhwal Himalaya,Uttarakhand,30.6866,78.4234,2.4,Mw,7.4,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
7,2010-01-01,11:07:29,Kutch Region,Gujarat,23.659,69.8187,2.1,Mw,8.8,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
8,2010-01-01,11:47:18,Shillong Plateau,Meghalaya,26.2268,91.4465,2.3,ML,5.8,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
9,2010-01-01,12:31:03,Guwahati-Kopili Belt,Assam,26.5791,91.2862,3.0,Mw,9.7,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
10,2010-01-01,15:26:53,Chamba-Kangra Belt,Himachal Pradesh,32.0493,76.2107,2.1,mb,16.9,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
11,2010-01-01,16:04:03,Upper Assam,Assam,27.1205,96.3492,2.2,mb,20.8,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
