Observation_ID,Event_Date,Historical_Event_Name,Earthquake_Magnitude_Mw,Tsunamigenic_Source_Zone,State_or_UT,Coastal_District,Survey_Location_Name,Latitude_deg_N,Longitude_deg_E,Maximum_Water_Runup_m,Inland_Inundation_Distance_m,Recording_Instrument_or_Agency,Documented_Impact_and_Field_Observations
IND-TSU-SURVEY-0001,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andaman & Nicobar Islands,Nicobar,"Malacca, Car Nicobar",9.172,92.815,11.2,1250,Survey of India Tide Gauge,"Catastrophic; Air Force Station inundated, permanent land subsidence"
IND-TSU-SURVEY-0002,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andaman & Nicobar Islands,Nicobar,"Campbell Bay, Great Nicobar",6.998,93.928,8.5,650,Harbor Jetty Observation,"Severe; port structure destruction, coastal road washouts"
IND-TSU-SURVEY-0003,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andaman & Nicobar Islands,South Andaman,"Hut Bay, Little Andaman",10.595,92.54,11.8,1100,GSI Field Survey,"Breakwater destroyed, settlement submerged under 4 successive waves"
IND-TSU-SURVEY-0004,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andaman & Nicobar Islands,South Andaman,"Corbyn's Cove, Port Blair",11.642,92.748,5.4,320,Port Blair Tide Station,"Sea wall breached, hotels damaged, water ingress up to main road"
IND-TSU-SURVEY-0005,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andaman & Nicobar Islands,North & Middle Andaman,Diglipur Coast,13.265,93.003,3.8,220,GSI Survey Point,Moderate coastal scouring; co-seismic uplift observed
IND-TSU-SURVEY-0006,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Nagapattinam,Nagapattinam Port,10.765,79.843,10.1,950,Nagapattinam Tide Station,"Catastrophic; massive loss of life, port facilities obliterated"
IND-TSU-SURVEY-0007,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Nagapattinam,Velankanni Pilgrim Beach,10.681,79.851,8.9,1150,GSI Field Survey,"Severe; church promenade inundated, hundreds of pilgrimage shops swept"
IND-TSU-SURVEY-0008,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Nagapattinam,Poompuhar,11.148,79.854,6.8,620,GSI Field Survey,"Severe; historical monuments flooded, fishing crafts smashed"
IND-TSU-SURVEY-0009,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Cuddalore,"Silver Beach, Cuddalore",11.71,79.775,5.9,580,District Hydrographic Survey,"Heavy backwater flooding via Uppanar estuary, fishing hamlets submerged"
IND-TSU-SURVEY-0010,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Kanyakumari,Kanyakumari (Vivekananda Rock sector),8.078,77.555,7.4,720,Survey of India Tide Gauge,"Severe; sea shore wall collapsed, tourist jetty inundated"
